date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp_growth,ppi,trade_balance,unrate,usd_index,labor_force_women,health_services_emp,homeownership_rate,working_age_pop,migration_fear_idx,labor_force_part,labor_force_men
2002-09-30,0.144343,0.121616,0.111668,0.09082,0.076909,0.031011,0.010104,0.004636,0.004329,0.006114,28.34,1.74,-0.415606280949997,-0.4310976393534587,-0.4352349508259496,0.1552856902568405,-1.274218663742773,0.4172724608586307,0.0088707558971514,132.3,-42237426862.0,5.733333333333333,107.08666666666666,59.7,16513,67.9,184256100,105.0030597,66.7,74.4
2002-12-31,-0.004478,0.002539,-0.006461,0.005984,0.006978,0.008356,0.006707,0.004237,0.003583,-0.000553,28.21666666666667,1.4433333333333334,-0.4236832184387629,-0.4333730973463111,-0.4814385507816215,0.1587457190304392,-0.8589521532076592,0.3994140380563981,0.0070459503060804,132.9,-44597872087.0,5.866666666666667,104.96666666666664,59.5,16605,68.2,184902600,99.88734527,66.3,73.6
2003-03-31,0.005725,0.014818,0.011977,0.011918,0.010443,0.007994,0.004272,0.003135,0.002828,0.018242,34.096666666666664,1.25,-0.5326735582144869,-0.5631236479888462,-0.5935256558542107,0.0219773157562005,-0.5674823568205064,0.3188928550793771,0.0101881917107846,141.2,-42851561205.0,5.866666666666667,99.56,59.7,16722,68.1,186114900,102.7644193,66.3,73.3
2003-06-30,0.051314,0.052808,0.032904,0.031168,0.024129,0.008456,0.004285,0.003331,0.002829,-0.002715,28.98,1.2466666666666668,-0.6921152274394802,-0.7787480173871236,-0.7588046411249615,-0.0646753356779367,-0.8534871243743466,0.2153270813866243,0.0124069625471479,138.0,-42664438449.0,6.133333333333333,95.06333333333332,59.9,16830,68.2,186886500,94.02007461,66.5,73.6
2003-09-30,-0.033739,-0.031447,-0.018612,-0.009144,-0.000923,0.002961,0.003439,0.002537,0.00223,0.008165,30.21333333333333,1.0166666666666666,-0.6913187989472775,-0.7290465548136785,-0.7048546781657349,-0.1805693442692306,-0.6970989727890594,0.1619002458022413,0.0224439363458945,138.5,-48772189515.0,6.133333333333333,95.94666666666666,59.1,16885,68.3,187559200,95.29757143,66.1,73.6
2003-12-31,-0.014606,-0.009952,-0.012729,-0.007511,-0.005371,0.000301,0.002605,0.002551,0.002258,-0.00486,31.19333333333333,0.9966666666666668,-0.7131565772830876,-0.706207810126659,-0.7110239234411121,-0.2554377993679959,-0.4653574032442948,0.2270516076956119,0.0177721866165618,139.5,-46394893986.0,5.833333333333333,89.95333333333333,59.0,17015,68.5,188030000,88.29012761,65.9,73.5
2004-03-31,0.05635,0.054179,0.045467,0.038085,0.029554,0.01177,0.004241,0.002451,0.002165,0.016821,35.24666666666667,1.0033333333333332,-0.7912664309620552,-0.7228771859320348,-0.7776358362594287,-0.3318182461611674,-0.5576057172295639,0.3442266314664329,0.0128448856860983,143.1,-49411131260.0,5.7,87.37333333333333,59.3,17115,68.7,188104500,93.88098698,66.0,73.2
2004-06-30,-0.059372,-0.050688,-0.045882,-0.036875,-0.033214,-0.013752,-0.003481,0.002386,0.002217,0.012274,38.35333333333333,1.01,-0.7265499836582863,-0.7157326266251027,-0.6961641755979167,-0.3404165595489787,-0.3400061954506975,0.4579384826892659,0.01588198446305,147.2,-60013814036.0,5.599999999999999,89.41000000000001,59.3,17202,69.4,188689100,83.96829027,66.1,73.3
2004-09-30,0.070238,0.063964,0.047581,0.038401,0.02875,0.010161,0.005037,0.003485,0.003223,0.001055,43.873333333333335,1.4333333333333331,-0.6980367074600942,-0.7282289106004247,-0.6919549026190855,-0.2741279393113027,-0.2710891093752689,0.5974124641671078,0.0158915991039243,147.7,-57000131456.0,5.433333333333334,88.75333333333333,59.0,17267,68.9,189276300,91.8205742,65.8,73.2
2004-12-31,0.022185,0.016955,0.006592,0.002498,-0.000605,-0.000449,0.000988,0.004696,0.004348,0.002107,48.3,1.95,-0.7077836393997402,-0.6947198483147877,-0.730900982362803,-0.2531123413224597,-0.144870270187419,0.7611201116336171,0.0180334387431373,150.2,-55926699871.0,5.433333333333334,82.52666666666666,59.1,17435,69.1,189846000,95.93020458,65.9,73.2
2005-03-31,0.021228,0.00895,-0.008384,-0.011134,-0.01297,-0.003501,0.001761,0.005699,0.005435,0.015765,49.72666666666667,2.47,-0.6989731421171007,-0.6858366155720638,-0.7269927453840164,-0.2365557768212346,-0.117672510219957,0.9383058853601648,0.0191640375904811,153.7,-55684268270.0,5.3,83.39,59.0,17506,69.2,190429400,92.33630851,65.9,73.2
2005-06-30,0.097252,0.087454,0.054399,0.04409,0.030349,0.012651,0.008769,0.007134,0.006745,0.006207,53.053333333333335,2.9433333333333334,-0.6127412298790584,-0.5635983522019304,-0.6703457886001629,-0.1333384650123385,0.0359328867074309,1.127123170237593,0.0121693835322558,154.3,-64034293715.0,5.1000000000000005,87.10000000000001,59.2,17669,68.7,190898400,91.53852333,66.1,73.4
2005-09-30,-0.0431,-0.033184,-0.019247,-0.01946,-0.01169,-0.000434,0.004225,0.008354,0.008173,0.022108,63.19333333333333,3.4599999999999995,-0.5982437999973437,-0.5202013117605293,-0.6700647130913234,-0.1108074223201345,0.1374083740201173,1.382896728747692,0.0170232806630463,162.2,-71570202485.0,4.966666666666667,88.81666666666666,59.4,17793,68.7,191472800,106.0678877,66.1,73.3
2005-12-31,0.015951,0.014884,0.005457,0.005506,0.001312,0.006517,0.007775,0.009258,0.00896,-0.010061,59.99666666666667,3.98,-0.5760527654006737,-0.5132061385487394,-0.587180775950528,-0.1296253406576587,-0.2821495943396676,1.686109349770563,0.0138147261410606,163.0,-64380824674.0,4.966666666666667,90.93666666666668,59.2,17893,68.9,192182400,90.10201444,66.0,73.2
2006-03-31,-0.058702,-0.042575,-0.024105,-0.017381,-0.010104,0.00327,0.006723,0.010441,0.010488,0.015244,63.27,4.456666666666667,-0.6162586829135489,-0.4715949724219616,-0.6516802150218723,-0.124014128916681,-0.3367350635969597,1.9163795081760264,0.0206358293523576,162.2,-62064632970.0,4.733333333333333,89.60000000000001,59.2,18042,68.6,192623000,97.36802998,66.2,73.6
2006-06-30,-0.033019,-0.015658,-0.006786,-0.003169,-0.002014,0.005786,0.008217,0.01152,0.01177,0.015516,70.41000000000001,4.906666666666667,-0.5864608572972493,-0.4255263540161791,-0.5829125069814295,-0.1396582255069391,-0.5028699133553363,2.181488108411184,0.0113436418131709,166.1,-69992130953.0,4.633333333333333,85.35000000000001,59.5,18109,68.8,193178900,169.2204311,66.2,73.4
2006-09-30,0.080922,0.069255,0.050125,0.042798,0.034856,0.02068,0.015496,0.013159,0.012357,1e-06,70.41666666666667,5.246666666666667,-0.5819341075719838,-0.4465004633752648,-0.6101881940701642,-0.0854134715207264,-0.4803643841594774,2.362914149655794,0.0084898131548913,165.4,-69960480195.0,4.633333333333334,85.44,59.3,18251,68.9,193583000,119.9761595,66.1,73.4
2006-12-31,0.004086,0.003622,0.004771,0.005694,0.005262,0.008648,0.010503,0.012383,0.012406,-0.005421,59.97666666666667,5.246666666666667,-0.6254353144543423,-0.4869364558102458,-0.7009235764302506,-0.0485988011301383,-0.435702530152937,2.4808575698141206,0.0122112259761726,165.6,-59710693385.0,4.433333333333334,83.98666666666666,59.5,18377,68.8,194095400,116.3717397,66.4,73.7
