Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
11/27/2015,-0.443661357718503,-0.446333299490565,-0.558576214216092,0.0889126897809994,-0.0925429559548269,-0.699349297080446
12/04/2015,-0.425119403342384,-0.419978576798504,-0.543231619337704,0.10769452638694,-0.106023592654606,-0.694770340298583
12/11/2015,-0.403023733926778,-0.387900189687524,-0.525272748181307,0.128501571257021,-0.110394368357495,-0.690286073466706
12/18/2015,-0.38145110841248,-0.358452749825879,-0.508704666166556,0.150292293880452,-0.10556598209325,-0.685908599575122
12/25/2015,-0.361338699898236,-0.335019955737525,-0.494289310192454,0.171861710244877,-0.0920236851109641,-0.681652448628375
01/01/2016,-0.343642959756118,-0.320143936353833,-0.482996054407731,0.192303466333162,-0.0710158547508442,-0.677534019351278
01/08/2016,-0.328049475580341,-0.310619455809381,-0.474119259339972,0.210388968064204,-0.0440312627853105,-0.673570841477148
01/15/2016,-0.314428176255948,-0.301406866950065,-0.468175592056553,0.226342875085563,-0.0136589015630007,-0.669783496474086
01/22/2016,-0.304202304168429,-0.291013695145853,-0.465339676653578,0.238846515267097,0.0177625051201995,-0.666188500035725
01/29/2016,-0.297535546524997,-0.278424633222638,-0.465011255719784,0.24698218816066,0.0482797319742997,-0.662801556550534
02/05/2016,-0.293893106665844,-0.263743882981617,-0.466490521518542,0.250589358075438,0.0760069361168364,-0.659635235670437
02/12/2016,-0.294036816066421,-0.253094836481553,-0.469561383500562,0.248892707488107,0.0997677620593828,-0.656697783844823
02/19/2016,-0.302601780473507,-0.255057021711226,-0.476712085722249,0.240728161833449,0.118383924428111,-0.653992841308897
02/26/2016,-0.315474510234487,-0.265876055146679,-0.48518802041084,0.227623265225586,0.131528105860737,-0.651519299055839
03/04/2016,-0.33111366838877,-0.280638710912035,-0.494226737837711,0.211112399199938,0.138813505779505,-0.64927088390271
03/11/2016,-0.346692226446774,-0.295130808687839,-0.503227365288263,0.193993245470827,0.140277266618221,-0.64723661051399
03/18/2016,-0.36074415125427,-0.30265812957057,-0.511456455553986,0.178183533515373,0.13564788240413,-0.645400909571408
03/25/2016,-0.370273728067102,-0.299750855290025,-0.517017849230355,0.165297567116988,0.125725683364853,-0.643744053024165
04/01/2016,-0.377103994859662,-0.290372598076917,-0.520893501836868,0.155616668740009,0.110951684099091,-0.642243407121026
04/08/2016,-0.380745625989277,-0.276786510377092,-0.522622052952496,0.149643722482525,0.0924158596399674,-0.640876440401689
04/15/2016,-0.383464494013243,-0.267026481651279,-0.523679786806486,0.14686716959452,0.0715130420089552,-0.63961665150205
04/22/2016,-0.385211677106059,-0.261953009126149,-0.524346174553491,0.14690376517316,0.0508564112721515,-0.638443228316996
04/29/2016,-0.385117551882378,-0.259623950372578,-0.524179722479094,0.149646089132444,0.0324337394084188,-0.637337909421893
05/06/2016,-0.383563117705238,-0.258418635736841,-0.52334181656673,0.154294259565953,0.0181904704562509,-0.636286590798616
05/13/2016,-0.381655116145088,-0.258249641386421,-0.522659755893462,0.159906267008058,0.00986252494416471,-0.63527984355679
05/20/2016,-0.37859836254406,-0.255331898608494,-0.521016247310619,0.165675714250537,0.00823503517283136,-0.634312572134839
05/27/2016,-0.374031466901518,-0.249538320063874,-0.518268180386856,0.171132039237161,0.0136518427247612,-0.633383252965457
06/03/2016,-0.36779732731766,-0.241178097396886,-0.514594144442151,0.176218293432189,0.0252327960973306,-0.632493302896084
06/10/2016,-0.360829026933782,-0.232074900229575,-0.510573162949541,0.180546110081142,0.0413490478377323,-0.63164621650078
06/17/2016,-0.352990595182461,-0.222039703481,-0.506172511724716,0.184101948205012,0.0598922165327026,-0.630846605393231
06/24/2016,-0.347847463116822,-0.215642095348456,-0.502451481519541,0.18486457619005,0.0787776932706229,-0.630099388055006
07/01/2016,-0.344709135175069,-0.21149371397688,-0.499102262867001,0.1832308889033,0.0958716645481022,-0.629408676767943
07/08/2016,-0.345794187650162,-0.214521705222247,-0.495984767759357,0.177725738727651,0.109276937675143,-0.628778498349961
07/15/2016,-0.349894057165008,-0.22286989137361,-0.493273921976246,0.169546456057077,0.118053525894077,-0.628209988609609
07/22/2016,-0.354151280475138,-0.23232549879567,-0.489007572015497,0.160004715818076,0.121418094916924,-0.627704913840537
07/29/2016,-0.358462212864964,-0.242290895804131,-0.484080370544934,0.150538235159538,0.119091222565001,-0.62726328797562
08/05/2016,-0.36073318784609,-0.247200489214094,-0.478416169501025,0.143289445509869,0.111211373835286,-0.626883867985601
08/12/2016,-0.360995627488643,-0.246301537625254,-0.472453707760099,0.139025912780578,0.0982040172795982,-0.626562988517936
08/19/2016,-0.35867500477752,-0.238604433773329,-0.466220332267957,0.138295758761116,0.0805491007508138,-0.626294074967292
08/26/2016,-0.353567188253845,-0.225643134770122,-0.459710403938369,0.141033952023807,0.0585944583505981,-0.626066716435404
09/02/2016,-0.346536696794133,-0.21064308647935,-0.454089091856374,0.146779720020245,0.0327354536891188,-0.625865923529676
09/09/2016,-0.340638536976135,-0.200273450989808,-0.450534874117323,0.153346023623086,0.00276819009013443,-0.625671716791301
09/16/2016,-0.336252096744307,-0.195481306372787,-0.448878907748705,0.159337755290131,-0.0316650308470314,-0.625458385163782
09/23/2016,-0.335031791139675,-0.197127535089551,-0.450016716630565,0.163499260821065,-0.0713593831895565,-0.625194421322827
09/30/2016,-0.338192891066031,-0.206246894959183,-0.45462398553499,0.165179759388575,-0.117577753261326,-0.624843890252297
10/07/2016,-0.345360758356392,-0.22146588541633,-0.460773782229762,0.162878971677094,-0.170785993684407,-0.624367725894439
10/14/2016,-0.354507730921598,-0.238372299923021,-0.467215752679602,0.157423426005684,-0.231412482521579,-0.623720764820143
10/21/2016,-0.365771867225285,-0.258759866527265,-0.474351505426527,0.149391415822535,-0.298979268591196,-0.622864209621732
10/28/2016,-0.378809216657106,-0.283974002669881,-0.480592124541147,0.138405494538067,-0.372417317733691,-0.621760284196015
11/04/2016,-0.390943644873866,-0.310325150693867,-0.485232544459452,0.126238746792946,-0.44921574425277,-0.620376446076051
11/11/2016,-0.404971728283485,-0.339219772415793,-0.489545519822219,0.11259054034171,-0.527297456154011,-0.618688103080812
11/18/2016,-0.417818801891588,-0.364528476566466,-0.492401695772895,0.0987132091662455,-0.602652252888918,-0.616679487469095
11/25/2016,-0.429123914748988,-0.383028893068892,-0.494424016038874,0.0852460106764047,-0.671614549263834,-0.614344412938021
12/02/2016,-0.439025856733121,-0.393704074063877,-0.495907022868311,0.0724590946493638,-0.731573742590786,-0.611687609174148
12/09/2016,-0.447868386451778,-0.396646951543591,-0.49735729422887,0.060364140731468,-0.780213189853699,-0.608724401525364
12/16/2016,-0.454783656897826,-0.393647967324637,-0.498668777477198,0.0491101918703922,-0.815586280172545,-0.605481134932353
12/23/2016,-0.460605120393579,-0.388092042917011,-0.500399034156905,0.0388838189527779,-0.837961343751942,-0.601995160186927
12/30/2016,-0.466993173015056,-0.38379295304529,-0.502717951089691,0.0285368541918518,-0.847681421710813,-0.598312347538046
01/06/2017,-0.472693317750487,-0.37865217387969,-0.505073602080646,0.0188440687386207,-0.845947703236265,-0.594481852725918
01/13/2017,-0.478473988598906,-0.375174185471676,-0.507650071182067,0.00954606306776801,-0.834348966416636,-0.590565138280339
01/20/2017,-0.48328344733308,-0.372343489200006,-0.509774904504776,0.00119744098624293,-0.814596613976571,-0.586615087681216
01/27/2017,-0.486940575372488,-0.37005534847996,-0.510929936449488,-0.00605119836871083,-0.788727476024839,-0.582683241928485
02/03/2017,-0.489290353029661,-0.369311080761131,-0.511964837135544,-0.0112297946165036,-0.758345168210162,-0.578816295518395
02/10/2017,-0.490540091251738,-0.372379644839065,-0.512740648210925,-0.0144289934267807,-0.725033723141004,-0.575054326614094
02/17/2017,-0.489931326913564,-0.376447043546711,-0.513625344559488,-0.0148512215326802,-0.689921748272833,-0.571430725298802
02/24/2017,-0.487776039559897,-0.380046152319747,-0.514635679909611,-0.012762355649003,-0.654279472384566,-0.567973273801124
03/03/2017,-0.485831667959848,-0.385086419860428,-0.516476552396846,-0.00941585533703375,-0.618758915456439,-0.564704465655676
03/10/2017,-0.483252373548649,-0.387193181971892,-0.51877702199461,-0.0054067404667832,-0.583179295733954,-0.561642701294887
03/17/2017,-0.480897441807988,-0.388068040328609,-0.521504918792556,-0.00172064229562386,-0.54852515147725,-0.558803652818876
03/24/2017,-0.479395296050804,-0.389523323453964,-0.524794826430609,0.00070696996360962,-0.515249958482547,-0.55620093950187
03/31/2017,-0.480757326665601,-0.394331741879232,-0.529771773756785,0.000962112550277679,-0.484173822463347,-0.553846895111291
04/07/2017,-0.484086012701176,-0.401105384649073,-0.536482769072647,-0.000305811512559881,-0.456112192119091,-0.551754524979484
04/14/2017,-0.489809256589184,-0.409992970697273,-0.545746961539017,-0.00262401236749841,-0.431905135642123,-0.54993730394881
04/21/2017,-0.497574511135737,-0.418643465119986,-0.557425229903572,-0.00553242480069783,-0.412242867979135,-0.548405683520733
04/28/2017,-0.507714306921183,-0.428650722458487,-0.571413639370579,-0.00905321841104905,-0.397473523014984,-0.547170822287253
05/05/2017,-0.517861329576849,-0.439116927299773,-0.586063405118188,-0.0123271920538328,-0.387638579527057,-0.546241969975039
05/12/2017,-0.527855783766706,-0.450918333015666,-0.600127341778978,-0.0159925053354108,-0.382253488797449,-0.54562520691217
05/19/2017,-0.536706929861682,-0.462874110734268,-0.612365192197082,-0.0199189613052606,-0.380943524165812,-0.545322969811419
05/26/2017,-0.545752213637749,-0.476493218548098,-0.622225083596027,-0.0254238385248355,-0.382864003849926,-0.545333241861614
06/02/2017,-0.552938527572178,-0.486112199925785,-0.629046150559579,-0.0314114939686615,-0.386887298906445,-0.545648280628317
06/09/2017,-0.558730112043612,-0.490966290000376,-0.632637350267253,-0.0381448615327715,-0.39221558718729,-0.546254560572085
06/16/2017,-0.563153128926593,-0.493744922169696,-0.633785842111228,-0.0451997265564982,-0.397440601871885,-0.547131948186971
06/23/2017,-0.566207472191212,-0.495888798346573,-0.633348428527963,-0.0521033486553334,-0.401127512728674,-0.5482532992069
06/30/2017,-0.569487827056255,-0.503048647713719,-0.632417506754289,-0.0588203134709613,-0.403064287352294,-0.549585386515097
07/07/2017,-0.572600369454602,-0.514861199866075,-0.63168753821203,-0.0646999182412742,-0.402214032649998,-0.551094125265386
