date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp,gdp_growth,ppi,trade_balance,unrate,usd_index
1997-09-30,0.063915,0.058084,0.042015,0.038172,0.030046,0.02013,0.016632,0.013793,0.012984,0.005615,19.80333333333333,5.533333333333334,-0.6470742430425636,-0.5648944157730323,-0.5747870297110322,-0.21284797971209718,-1.009002191486279,0.09692236704133989,8662.823,0.016903504884769882,127.5,-19256056239.0,4.866666666666667,98.58333333333333
1997-12-31,0.077129,0.067143,0.041176,0.033516,0.023707,0.01764,0.014894,0.013325,0.012363,0.00062,19.95,5.506666666666667,-0.5143791896719511,-0.4538074660560344,-0.3924950739706172,-0.1488356090224882,-1.0789232143178453,0.1490055174228821,8765.907,0.011899585158325232,126.8,-15514383268.0,4.666666666666667,97.69333333333334
1998-03-31,0.011862,0.015251,0.015765,0.016105,0.015622,0.01501,0.014276,0.013306,0.012588,0.005579,15.966666666666667,5.52,-0.6061004680606374,-0.5876977764725783,-0.553824388437673,-0.1705459120548041,-1.0110961122375535,0.21971477373346285,8866.48,0.011473199521738087,124.7,-16164550590.0,4.633333333333333,100.70333333333333
1998-06-30,0.058942,0.045146,0.027171,0.025041,0.018005,0.015287,0.0144,0.013282,0.012183,0.004933,14.660000000000002,5.5,-0.5865014921813108,-0.4916089645477489,-0.5494515196305707,-0.1394455410098393,-0.9396964682982376,0.2208111056807763,8969.699,0.011641485685413011,124.8,-20285708263.0,4.3999999999999995,100.44333333333333
1998-09-30,0.106874,0.0789,0.091994,0.08081,0.060403,0.033625,0.02081,0.014049,0.011806,0.003681,14.223333333333334,5.533333333333334,-0.3796583412591425,-0.2493820379034983,-0.38035027757392226,0.011165223105520598,-0.17880370055979136,0.22223831794480756,9121.097,0.016878827260535578,123.8,-22843427137.0,4.533333333333333,99.19
1998-12-31,-0.01289,-0.012479,-0.00738,-0.005396,-0.002933,0.007046,0.010605,0.011368,0.010401,0.001834,12.936666666666667,4.86,-0.07433448645042504,0.09181212627935066,-0.08889412325121535,0.22526275327861123,0.4032201649736243,0.2800165242573234,9293.991,0.018955395387199703,122.8,-17378907377.0,4.433333333333334,94.7
1999-03-31,-0.070523,-0.041154,-0.032578,-0.024851,-0.010929,0.004888,0.01015,0.010985,0.010982,0.006712,13.07,4.733333333333333,-0.31215965869826157,-0.22787254182027625,-0.3466840097470258,0.010682071564943522,0.61293305877544,0.40031784488745986,9411.682,0.012663128251361622,122.6,-23685588514.0,4.3,98.28666666666668
1999-06-30,-0.033436,-0.024861,-0.032882,-0.012638,-0.007779,0.004627,0.00956,0.01158,0.011388,0.007273,17.650000000000002,4.746666666666667,-0.4007258358005956,-0.27219264037729446,-0.411122903996709,-0.06430404072809127,0.34150337020872645,0.42796488449839326,9526.21,0.012168706932512041,125.2,-29988536957.0,4.266666666666667,102.12
1999-09-30,-0.012293,-0.002707,0.003252,0.005022,0.012044,0.012761,0.013816,0.012932,0.011281,0.010229,21.72666666666667,5.093333333333334,-0.1894218461316757,0.0420752268471644,-0.16331052830027357,-0.0132046847626609,0.8314029505543463,0.5017450857524776,9686.626,0.01683943562025192,128.0,-31410141104.0,4.233333333333333,99.41333333333334
1999-12-31,-0.040799,-0.020467,-0.0249,-0.00989,-0.006874,0.003711,0.008907,0.012848,0.011198,0.002383,24.596666666666668,5.306666666666667,-0.13758104790589015,0.1501555383145139,-0.13572467611820013,0.057008255860797934,0.9923451827683669,0.556651011599767,9900.169,0.02204513728516,127.8,-27489056720.0,4.066666666666666,100.97333333333334
2000-03-31,0.091323,0.084908,0.038547,0.031551,0.021228,0.012044,0.01367,0.013454,0.013072,0.017231,28.823333333333334,5.676666666666667,-0.17446722359925254,0.025906816796699997,-0.21417560849387723,0.050621950557062596,1.2767466180008284,0.6142181782303473,10002.179,0.010303864509787708,130.8,-34434312136.0,4.033333333333333,105.49666666666667
2000-06-30,0.006143,0.008705,0.013619,0.018104,0.01912,0.017905,0.015725,0.015532,0.013178,0.00701,28.776666666666667,6.273333333333333,-0.006314800292917916,0.26471506880762424,0.034321919025458184,0.16414684938310947,0.590770850388831,0.7374804140988863,10247.72,0.024548750827194654,133.8,-35862997723.0,3.9333333333333336,108.57333333333334
2000-09-30,0.015871,0.027294,0.019969,0.03176,0.03081,0.022676,0.01689,0.014979,0.014941,0.00754,31.613333333333333,6.52,-0.1537316417366569,0.03441516962594409,-0.14401126421134458,0.21687799223118054,-0.3007072202923924,0.7806094857990254,10318.165,0.006874212019844617,134.7,-39593315653.0,4.0,111.80666666666666
2000-12-31,0.07578,0.075842,0.066293,0.058247,0.048482,0.029536,0.021891,0.016189,0.015168,0.001728,31.99,6.473333333333334,-0.12583939642124203,0.009258893345049944,-0.16280709010569175,0.4339597005836953,-1.1392483566708913,0.7575597310347685,10435.744,0.011395340159805478,136.2,-32870913203.0,3.9,113.81666666666666
2001-03-31,-0.00268,0.013726,0.018642,0.031857,0.033438,0.027825,0.024328,0.015623,0.013274,0.012644,28.816666666666666,5.593333333333334,-0.23629556599619986,-0.11554310045215134,-0.2729594671221188,0.4678480894559694,-1.9254256293904854,0.7257334543726472,10470.231,0.0033046996936680895,135.9,-32633433703.0,4.233333333333333,113.3
2001-06-30,-0.030671,-0.022343,-0.024009,-0.010798,-0.004026,0.010798,0.013647,0.011366,0.009857,0.010215,27.906666666666666,4.326666666666667,-0.3854748240495425,-0.31426954452239664,-0.37661002897278684,0.24424876669327075,-1.9613586483327086,0.7053999044490441,10599.0,0.012298582524110424,135.5,-32992139574.0,4.3999999999999995,118.11666666666667
2001-09-30,0.063775,0.068663,0.069691,0.069511,0.059299,0.038502,0.023213,0.010852,0.00875,0.001685,26.666666666666668,3.4966666666666666,-0.44427749526084404,-0.4172809071611404,-0.456798339739246,0.21573632496144646,-1.861502379266623,0.6173725135538162,10598.02,-9.24615529767081e-05,133.3,-34707530877.0,4.833333333333333,114.69333333333334
2001-12-31,0.005174,-0.017239,-0.021786,-0.014329,-0.007015,0.006955,0.011241,0.006256,0.005397,-0.008973,20.400000000000002,2.1333333333333333,-0.37272465241343183,-0.4149532914424788,-0.4157225892666971,0.2947910083604943,-1.58347130510125,0.5033474688060997,10660.465,0.005892138342822539,128.1,-26830737908.0,5.5,115.91333333333334
2002-03-31,-0.034298,-0.017255,-0.020713,-0.011217,-0.007983,-0.000526,0.00117,0.004243,0.004021,0.011885,21.656666666666666,1.7333333333333334,-0.4725858173610785,-0.5227380612925523,-0.5166245780836244,0.13985042271896736,-1.2008411634294354,0.5061829864955023,10783.5,0.011541241399882551,129.8,-30803834625.0,5.7,119.33999999999999
2002-06-30,0.057912,0.060742,0.060126,0.05949,0.051728,0.027652,0.015793,0.004715,0.004306,0.006152,26.246666666666666,1.75,-0.5853798651238709,-0.591080883914797,-0.5921570506149023,-0.004574159969784592,-1.329914065188427,0.4639779693136716,10887.46,0.009640654703945817,130.9,-36863610155.0,5.833333333333333,111.03666666666668
2002-09-30,0.144343,0.121616,0.111668,0.09082,0.076909,0.031011,0.010104,0.004636,0.004329,0.006114,28.34,1.74,-0.415606280949997,-0.4310976393534587,-0.43523495082594965,0.15528569025684053,-1.274218663742773,0.4172724608586307,10984.04,0.008870755897151472,132.3,-42237426862.0,5.733333333333333,107.08666666666666
2002-12-31,-0.004478,0.002539,-0.006461,0.005984,0.006978,0.008356,0.006707,0.004237,0.003583,-0.000553,28.21666666666667,1.4433333333333334,-0.4236832184387629,-0.4333730973463111,-0.4814385507816215,0.15874571903043921,-0.8589521532076592,0.39941403805639814,11061.433,0.007045950306080462,132.9,-44597872087.0,5.866666666666667,104.96666666666665
